3
BİR,İKİ,BEŞ|Sayılar
GÜLPEMBE,DÖNENCE,OSMAN,SÜLEYMAN,DÜRİYE,HAYIR,AYI|Barış Manço şarkıları
DANSÇI,KOMEDYEN,AKTÖR,MÜZİSYEN,ŞARKICI|Sahnedeki insanlar
VOLTAJ,AKIM,PRİZ,FATURA,TEHLİKE,SAYAÇ,TÜKETİM|Elektrik
MEMED,AYAR,HESAP,BELLİ,DAVRANIŞ,PASTA|İnce ...
DETERJAN,KÖPÜK,SÜNGER,FIRÇA,TEL,ELDİVEN,BEZ,DURULAMA|Bulaşık yıkama
MADDE,KİMYASAL,ZEHİR,YILAN,KURTARMA,AKREP|Panzehir
PİLOT,HOSTES,KAPTAN,KAMAROT,TAYFA,MAKİNİST,MÜHENDİS|Mürettebat
KÖŞE,AÇI,KELEPÇE,ÇEVİRMEK,ORANTI,REPO,YÜZ,GİTMEK,DÖNMEK|Ters ...
MAFYA,MAHZEN,BODRUM,METRO,FOSEPTİK,SIĞINAK,DEPO,ALTYAPI|Yerin altında olur
BOLŞEVİK,GORBAÇOV,YOLDAŞ,KOMUNİST,SOĞUK,SAVAŞ,STALİN|Sovyetler Birliği
DEDİKODU,VİRUS,KANSER,REÇEL,BAL,TEREYAĞ,SÖYLENTİ,NETELLA|Yayılır
PEŞTEMAL,HAVLU,TERLİK,KESE,ŞAMPUAN,SABUN,SICAK|HAMAM
GERDAN,BONFİLE,ROSTO,İNCİK,BUT,PİRZOLA,ANTRİKOT|Et lokantası
KAHVE,ÇAY,KISIR,BÖREK,DEDİKODU,SOHBET,POĞAÇA|Altın günü
HASTANE,KIRIK,IŞIN,ZARARLI,ATOM,GÖRÜNTÜ,RADYOLOG,FİLM,MUAYENE|Röntgen
DAMAR,POZİTİF,HÜCRE,TANSİYON,ALYUVAR,KIRMIZI,KARDEŞ|Kan
KUŞ,ASLAN,MUHAFAZA,TEL,GÖĞÜS,GÜVENLİK,DEMİR,HAPİS|Kafes
KAZI,TARİH,UYGARLIK,BİLİM,YUNAN,MISIR,MEZAR|Arkeoloji
ALMANYA,AVRUPA,JAPONYA,FAŞİST,NAGAZAKİ,HİROŞİMA,RUSYA|II. Dünya Savaşı
İŞKEMBE,PAÇA,BÖBREK,BEYİN,KELLE,BAĞIRSAK,CİĞER,YÜREK|Sakatat
SES,TİTREŞİM,DİYAFRAM,TELEFON,DALGA,CİHAZ|Mikrofon
GÖKÇEADA,BOZCAADA,SAKIZ,MİDİLLİ,RODOS,GİRİT,İSTANKÖY,SİSAM|Ege adaları
GONDOL,TREN,BALERİN,ASANSÖR,KAMİKAZE|Lunapark
HAVUÇ,MERCİMEK,ISPANAK,PATATES,TURP,BEZELYE,BROKOLİ|Vejetaryen
KIYMA,EKMEK,SOĞAN,YUMURTA,MAYDONOZ,SARIMSAK,TUZ|Köfte
FARAŞ,FIRÇA,DETERJAN,SÜPÜRGE,BEZ,KOVA,SABUN|Temizlik saati
PARTİ,YORGUN,SOSYAL,ÖZGÜRLÜK,LİBERAL,SİYASET,GÖRÜŞ|Demokrat
BAKIRKÖY,AVCILAR,ADALAR,ATAŞEHİR,BAĞCILAR,BEYOĞLU,BEYKOZ,EYÜP|İstanbul ilçeleri
KADIN,BEBEK,AŞERME,DOKTOR,ULTRASON,TEKME,SANCI,SEZARYEN|Hamile
ÇAKI,SAAT,ÇİKOLATA,FRANK,BANKA,ALMANCA,AVRUPA,ALPLER,BERN|İsviçre
TOKAÇI,ZÜBÜK,DAVARO,GARİP,SALAKO,POSTACI,KILIBIK|Kemal Sunal filmleri
KRUVAZÖR,MUHRİP,KORVET,AMİRAL,SAHİL|Deniz Kuvvetleri
KÜPE,BİLEZİK,YÜZÜK,KOLYE,ÇEYREK,KÜLÇE,BİLEKLİK|Kuyumcu
DİKKAT,ANAYOL,YOLVER,FİŞEK,TOPLAMA,ÇIKARMA|İşaret
DAİRE,KAT,MÜLK,EMLAK,KAPICI,KOMŞU,TAŞINMAZ|Apartman
PARFÜM,RUJ,KREM,MASKE,TONİK,RİMEL,FAR,PUDRA,PEELİNG,OJE|Kozmetik
DONMA,SOĞUTMA,KIŞ,MAVİ,SIVI,RADYATÖR,BAKIM|Antifriz
KADINI,SAHİBİ,KEDİSİ,TELEFONU,TEKSTİLİ,KİRASI|Ev ...
TÜRKİYE,ATATÜRK,LOZAN,BAĞIMSIZ,BAŞARI,İSTİKLAL|Kurtuluş Savaşı
AĞIZ,YUTAK,MİDE,BAĞIRSAK,BESİN,ENZİM,SİSTEM|Sindirim
POKEMON,VOLTRAN,GARFIELD,HEMAN,ŞİRİNLER,BATMAN,SIMPSONS|Çizgi filmler
BANKASI,İLANI,YERİ,ORTAĞI,ADAMI,BİRLİĞİ,KAZASI,SAĞLIĞI|İş ...
TURİZM,İNŞAAT,BİLİŞİM,TARIM,FİNANS,EĞİTİM,GIDA,TEKSTİL|Ticari sektörler
DOKTOR,HEMŞİRE,HASTA,DANIŞMA,MORG,RÖNTGEN,CERRAH,YATAK|Hastenede olur
TAVERNA,GAZİNO,SİNEMA,TİYATRO,DİSKO,LUNAPARK|Eğlence mekanları
AFRODİT,APOLLO,ARTEMİS,ATENA,HADES,HELEN,ZEUS,PEGASUS|Yunan mitolojisi
DİKİŞ,MOTOR,POMPA,TOST,HESAP,KAHVE,TIRAŞ,FOTOĞRAF|Makine
VEZNEDAR,KASA,KREDİ,BANKO,MÜDÜR,PARA,SIRA|Bankada olur
BUKET,DEJAVU,SABOTAJ,KABARE,ELİT,MENÜ,SUFLE,PLAJ,JANDARMA|Dilimizdeki Fransızca kelimeler
KURTARMA,KAMP,SAVAŞ,EĞİTİM,TATBİKAT,SİLAH,KUVVET,SAVUNMA|Ordu
KUPASI,REKORU,GENELİ,GÜZELİ,HARİTASI,BANKASI,GEZEGENİ,SAVAŞI|Dünya ...
CİNAYET,GERİLİM,YÖNETMEN,FİLM,İNGİLİZ,YAPIMCI,SENARİST|Alfred Hitchcock
MAKİNE,YAZILIM,İNŞAAT,KİMYA,FİZİK,KALDIRIM,ÇEVRE|Mühendislik dalları
ÇERÇEVE,MENTEŞE,KİLİT,TOKMAK,DİL,ANAHTAR,ÇİLİNGİR|Kapı
KAYNAMIŞ,KÖZDE,PATLAMIŞ,KOÇAN,KONSERVE,BARDAKTA|Mısır
ÇEKİCİ,CAZİBELİ,ALBENİLİ,HOŞ,GÜZEL,ALIMLI|Çok beğendim!
BAKLAVA,EKOSE,KAMUFLAJ,KOLAJ,PUANTİYE,ÇİÇEK|Kumaş desenleri
KOÇ,BOĞA,İKİZLER,YENGEÇ,ASLAN,BAŞAK,TERAZİ,AKREP,YAY,OĞLAK,KOVA,BALIK|Astroloji
KARİDES,MİDYE,İSTAKOZ,BALIK,KALAMAR,İSTRİDYE|Deniz mahsülleri
ANATOMİ,NÖROLOJİ,DAHİLİYE,ÜROLOJİ,ONKOLOJİ,VİROLOJİ|Tıp dalları
TEMİZLİK,ŞENLİK,AKSİLİK,GEMLİK,EĞRİLİK,TAZELİK,ASKERLİK,TERSLİK,SİNEKLİK|...lik
DİSKO,TANGO,VALS,LAMBADA,ORYANTAL,BALE,BREAK|Dans
KASAP,MANAV,AKTAR,NALBUR,TEKEL,BİJUTERİ,TUHAFİYE|Alış-verişe gidiyorum
KULE,SİNYAL,DÖNÜŞ,GÜVENLİK,LAMBA,LENS,KIYI,GECE||Deniz feneri
FASIL,MUHABBET,BALIK,PEYNİR,KARPUZ,HAYDARİ,EĞLENCE,ZARARLI|Rakı
VALİ,TAKSİ,POLİS,KALDIRIM,DURAK,METRO,OPERA,BELEDİYE|Şehirde bulunur
ANKARA,KOSOVA,VARNA,ÇALDIRAN,PREVEZE,KIRIM,PRUT|Osmanlı savaşları
BİSKÜİ,ÇİKOLATA,GOFRET,CİPS,MISIR,ŞEKER,KEK|Abur cubur
PARFÜM,MAKYAJ,EGZERSİZ,ÇALIŞMA,YEMEK,KISKANMA|Fazlası iyi olmaz
BİSİKLET,ZİL,FREN,YÖN,TEKERLEK,TUTACAK,JANT|Gidon
PİZZA,TEKERLEK,PLAK,YOYO,TABAK,JETON,PUSULA,BAZLAMA,LENS|Dairesel olur
SALDIRI,KOYMA,ATAK,YAKA,KALDIRIM,DAVA,TARAF,MAHALLE|Karşı ...
APARTMAN,DUBLEKS,UÇAN,GEOMETRİ,BAŞKAN,ALAN|Daire
MUHARREM,TATLI,BUĞDAY,NOHUT,FASULYE,KAYISI,İNCİR,FINDIK,TARÇIN|Aşure
KOSTÜM,KAMERA,SENARYO,YÖNETMEN,SİNEMA,OYUNCU|Film çekelim
TRİLEÇE,SÜKLAÇ,DONDURMA,PUDİNG,KEŞKÜL,SUPANGLE,GÜLLAÇ,TURTA|Sütlü tatlılar
SOSYETE,KURUL,LİSANS,ÖĞRENİM,DÜZEY,FAİZ,MAHKEME,BAŞARI|Yüksek ...
RİZİKO,POLİÇE,TEMİNAT,TAZMİNAT,HASAR,PRİM,ACENTE|Sigortacılık kavramları
UÇUŞ,OTEL,BAVUL,PASAPORT,HEDİYE,GEZİ,DİNLENME,VİZE|Tatil zamanı!
SIKILMA,ÖFKE,ŞAŞIRMA,ÜZÜNTÜ,KORKU,TİKSİNME,SEVGİ|Hislerimiz
TEBEŞİR,TABİR,TEKRAR,TAKDİR,TEKİR,TAMİR,TEKER,TEKBİR,TEDBİR,TAVIR|T...R
NİJERYA,ETİYOPYA,KENYA,ZİMBABVE,FAS,MISIR,LİBYA,CEZAYİR,ZAMBİA|Afrika ülkeleri
ŞEFKAT,MUTLULUK,SEVGİ,PAYLAŞMA,YUVA,KORUMA,GÜVEN|Aile
İHTİYARİ,SAFİ,RESMİ,NİZAMİ,İKTİSADİ,MENKUL|Gayri ...
PARÇACIK,GÜÇ,MADDE,HAREKET,ENERJİ,NÜKLEER,DERS,KANUN|Fizik
TARKEN,MADONNA,CHER,RIHANNA,STING,BEYONCE,SHAKIRA|Tek isimli şarkıcılar
RESİTAL,PEDAL,TABURE,TUŞ,ÖĞRETMEN,MÜZİK,YETENEK,AKORT|Piyano çalma
SUSHİ,ÇEKİK,ÇALIŞKAN,GURURLU,YEN,PASİFİK,GEYŞA,DEPREM,SAMURAY,BUDİST|Japonya
KARASAL,AKDENİZ,KUTUP,TUNDRA,MUSON,ÇÖL,EKVATOR,OKYANUS|İklim türleri
TROMBON,TRAMPET,TUBA,KLARNET,SAKSAFON,FLÜT,NEY,OBUA|Nefesli çalgılar
GÜNAYDIN,AÇIKGÖZ,ATEŞKES,KÜLBASTI,ALTÜST,ALBENİ,YAPBOZ,ÇEKYAT,ÇÖPÇATAN|Birleşik kelimeler
EINSTEIN,TESLA,EDISON,HAWKING,DARWIN,HUBBLE|Ünlü bilim adamları
ABD,BRİTANYA,RUSYA,FRANSA,ÇİN,PAKISTAN|Nükleer ülkeler
ELEMENT,BİLEŞİK,ATOM,MOLEKÜL,MADDE,TEPKİME,ÇÖZELTİ|Kimya
RAST,HİCAZKAR,HİHAVEND,MUHAYYER,ACEM,BUSELİK,SEGAH,HÜZZAM,UŞŞAK|TSM makamları
ASİLZADE,BEYZADE,PAŞAZADE,ŞEHZADE,AMCAZADE|...zade
MASA,İSTEKA,TOP,TEBEŞİR,BANT,OYUN,SAYGINER|Bilardo oynayalım mı?
EKMEK,KÖFTE,DOMATES,SOĞAN,KETÇAP,MAYONEZ,MARUL|Hamburger
BÖCEĞİ,DÜŞÜRÜCÜ,ÖLÇER,AÇMAK,YAKMAK,PÜSKÜRME,ETMEK|Ateş ...
TOPLAMA,ÇIKARMA,ÇARPMA,BÖLME,EKRAN,EŞİTTİR|Hesap makinesi
RAKIM,ZİRVE,YAMAÇ,ETEK,TIRMANMA,SIRA,KAR|Dağ
ARABESK,ARAZİ,ARAP,ARALIK,ARACI,ARABA,ARABAŞI|Ara...
İSPANYOL,KIRMIZI,GİTAR,DANS,ELBİSE,MÜZİK,DUYGUSAL|Flamenko
İSTANBUL,SİDNEY,DELHİ,LONDRA,PARİS,YOKYO,MOSKOVA,ROMA|Metropoller
TURUNÇ,PORTAKAL,GREYFURT,LİMON|Narenciye
KALE,KULE,PİRAMİD,KUBBE,GÖKDELEN,BİNA,STADYUM,BARAKA|Yapı çeşitleri
TESLA,LINCOLN,DODGE,CADILLAC,PONTIAC,HUMMER,JEEP,BUICK,FORD|Amerikan arabaları
QUEEN,BEATLES,ABBA,COLDPLAY,NIRVANA,SANTANA,EAGLES,ROXETTE|Yabancı gruplar
SOKRATES,PLATON,ARİSTO,ROUSSEAU,KANT,MARX|Ünlü filozoflar
MUSTAFA,BAHADIR,EGEMEN,İBRAHİM,NECATİ,İSMAİL,TEOMAN,MURTAZA|Üç heceli erkekler
BATAK,BRİÇ,POKER,ELLİBİR,PİŞTİ,BEZİK,HOŞGİN|İskambil oyunları
SOMALİ,KENYA,EKVADOR,UGANDA,BREZİLYA,KONGO,GABON|Ekvator kuşağında
ŞİRK,ÖLDÜRMEK,İNTİHAR,ZİNA,BÜYÜ,İFTİRA,İÇKİ,KUMAR,FAİZ|Büyük günahlar
FİLTRE,YAĞ,AKÜ,ROT,BALANS,ANTİFRİZ,BALATA,LASTİK|Otomobil bakımı
PORTRE,MÜZE,RESİM,YAĞLI,BOYA,GİZEM,LEONARDO|Mona Lisa
OTEL,MOTEL,PANSİYON,APART,KAMPİNG,VİLLA|Konaklama
MOLASI,MAKİNESİ,FİNCANI,DÜKKANI,KEYFİ,ÖĞÜTÜCÜ,HANE|Kahve ...
OSMANLI,İSTANBUL,FATİH,MÜZE,HAREM,İHTİŞAM|Topkapı Sarayı
ORTAÇAĞ,DÜZEN,FRANSA,DEREBEY,TOPLUM,EKONOMİK,SİYASAL|Feodal
MAKARNA,PİZZA,TİRAMİSU,RİZOTTO,LAZANYA|İtalyan mutfağı
HAVA,KAHVE,FOTOĞRAF,YAĞ,SPAM,SİGARA,AKVARYUM|Filtrelenen nesneler
ORTALAMA,KATSAYI,ORAN,VERİ,İLİŞKİ,DEĞİŞKEN,VARYANS,ANALİZ|İstatistik
SİTRİK,NİTRİK,SÜLFÜRİK,FOLİK,AMİNO,LAKTİK,ÜRİK|... asit
İSTANBUL,ANKARA,İZMİR,ADANA,ANTALYA,KAYSERİ,DENİZLİ,BURSA|Büyük şehirlerimiz
REKABET,DEDİKODU,YAĞCILIK,MOBBİNG,İSPİYON|İş yeri olayları
KALEM,POSTA,AYAKKABI,SAKLAMA,HEDİYE,GELEN|... kutusu
EŞOFMAN,SIFIRIN,BARDAK,KOLTUK,MERDİVEN,GÖZ,YER,BEBEK,SIVA|... altı
ÖZEL,GÜNDELİK,SOSYAL,LÜKÜS,GERÇEK,SAĞLIKLI|... hayat
NÖTRON,PROTON,ELEKTRON,ÇEKİRDEK,BÖLÜNME,İZOTOP|Atom
IŞIK,ALARM,RENK,BEYAZ,MERCİMEK,KART,BÜLTEN,GÜL|Kırmızı ...
ÇİĞNEMEK,YALAMAK,YEMEK,KONUŞMAK,ISIRMAK,ÖPMEK,ÜFLEMEK,ESNEMEK|Ağızla yapılır
ARAÇ,SİREN,KURTARMA,HORTUM,MERDİVEN,DUMAN,KAHRAMAN|İtfaiye
VİTES,DÖNÜŞÜM,ZEKALI,GİT,ALMAK,DÖNÜŞ,BİLDİRİM,ÖDEME|Geri ...
MAKİNESİ,YÖNETİMİ,AŞIMI,AYIRMAK,ÖLDÜRMEK|Zaman ...
TENOR,SOPRANO,BAS,ALTO,MEZZO,BARİTONE|Opera ses tonları
